Date,Open,High,Low,Close,Adj Close,Volume
21/10/1964,6.759879,6.783779,6.747929,6.763862,1.512827,263592
22/10/1964,6.763862,6.767846,6.739962,6.739962,1.507482,370284
23/10/1964,6.739962,6.747929,6.708094,6.714069,1.501691,225936
26/10/1964,6.714069,6.724028,6.612492,6.612492,1.478972,445596
27/10/1964,6.614484,6.66826,6.614484,6.636393,1.484317,514632
28/10/1964,6.636393,6.676227,6.628426,6.676227,1.493227,288696
29/10/1964,6.676227,6.700127,6.660293,6.700127,1.498574,269868
30/10/1964,6.700127,6.739962,6.684194,6.692161,1.496791,313800
02/11/1964,6.688177,6.688177,6.644359,6.644359,1.486542,615048
04/11/1964,6.644359,6.688177,6.644359,6.644359,1.486542,382836
05/11/1964,6.648343,6.688177,6.648343,6.672243,1.49278,288696
06/11/1964,6.672243,6.700127,6.664277,6.66826,1.491889,445596
09/11/1964,6.66826,6.700127,6.664277,6.676227,1.493672,395388
10/11/1964,6.676227,6.692161,6.66826,6.676227,1.493672,282420
11/11/1964,6.676227,6.688177,6.664277,6.676227,1.493672,332628
12/11/1964,6.676227,6.700127,6.676227,6.684194,1.495455,439320
13/11/1964,6.684194,6.791746,6.684194,6.791746,1.519517,627600
16/11/1964,6.835564,6.883365,6.835564,6.883365,1.540014,458148
17/11/1964,6.883365,6.923199,6.851498,6.867431,1.53645,338904
18/11/1964,6.835564,6.835564,6.708094,6.708094,1.500802,464424
19/11/1964,6.708094,6.716061,6.660293,6.708094,1.500802,640152
20/11/1964,6.708094,6.81963,6.708094,6.783779,1.517734,282420
23/11/1964,6.783779,6.787763,6.724028,6.739962,1.507932,301248
24/11/1964,6.724028,6.724028,6.676227,6.676227,1.493672,552288
25/11/1964,6.676227,6.712078,6.644359,6.644359,1.486542,753120
27/11/1964,6.644359,6.660293,6.588591,6.636393,1.484758,759396
30/11/1964,6.636393,6.692161,6.572658,6.572658,1.470501,527184
01/12/1964,6.556724,6.556724,6.485022,6.492989,1.452676,891192
02/12/1964,6.492989,6.51689,6.487014,6.500956,1.454458,458148
03/12/1964,6.500956,6.608509,6.500956,6.572658,1.470501,476976
04/12/1964,6.604525,6.660293,6.604525,6.644359,1.486542,307524
07/12/1964,6.644359,6.660293,6.630417,6.636393,1.484758,345180
08/12/1964,6.636393,6.638384,6.500956,6.500956,1.454458,301248
09/12/1964,6.500956,6.580625,6.485022,6.487014,1.451339,558564
10/12/1964,6.504939,6.564691,6.504939,6.51689,1.458023,345180
